;PC Software:StarLab Version 3.50 Build 9
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:04/02/2021 at 13:45:45
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Pulse
;Pulses Number:100
;Notes:                                                            

;Channel A:Pulsar Sensor 1 Pyroelectric PE50-DIF-C (s/n:959905)  FU1.30 (s/n:955794)

;Channel A:Details
;Name:PE50-DIF-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A
;Settings:External Trigger:Off
;Missing Pulses Detect:Off 

;Channel A:Statistics
;Min:59.18mJ             
;Max:70.88mJ             
;Average:64.99mJ             
;Std.Dev.:1.879mJ             
;Overrange:0                   
;Total Pulses:350                 
;--------------------


;First Pulse Arrived : 04/02/2021 at 13:46:36
    Timestamp    	  Channel A  	
         0.000000	  6.568e-02 	
         0.003032	  6.402e-02 	
         0.006064	  6.308e-02 	
         0.009096	  6.379e-02 	
         0.012128	  6.461e-02 	
         0.015160	  6.130e-02 	
         0.018192	  6.662e-02 	
         0.021224	  6.402e-02 	
         0.024256	  6.402e-02 	
         0.027288	  6.615e-02 	
         0.030320	  6.367e-02 	
         0.033352	  6.520e-02 	
         0.036384	  6.639e-02 	
         0.039416	  6.390e-02 	
         0.042448	  6.426e-02 	
         0.045481	  6.379e-02 	
         0.048513	  6.580e-02 	
         0.051545	  6.355e-02 	
         0.054577	  6.721e-02 	
         0.057609	  6.402e-02 	
         0.060643	  6.142e-02 	
         0.063675	  6.107e-02 	
         0.066706	  6.757e-02 	
         0.069739	  6.485e-02 	
         0.072771	  6.497e-02 	
         0.075803	  6.497e-02 	
         0.078835	  6.568e-02 	
         0.081867	  6.272e-02 	
         0.084899	  6.355e-02 	
         0.087931	  6.603e-02 	
         0.090963	  6.379e-02 	
         0.093995	  6.662e-02 	
         0.097027	  6.390e-02 	
         0.100059	  6.178e-02 	
         0.103091	  6.201e-02 	
         0.106123	  6.485e-02 	
         0.109155	  6.308e-02 	
         0.112188	  6.450e-02 	
         0.115220	  6.556e-02 	
         0.118252	  6.627e-02 	
         0.121282	  6.627e-02 	
         0.124316	  6.851e-02 	
         0.127348	  6.639e-02 	
         0.130380	  6.461e-02 	
         0.133412	  6.438e-02 	
         0.136444	  6.591e-02 	
         0.139476	  6.851e-02 	
         0.142508	  6.450e-02 	
         0.145540	  6.568e-02 	
         0.148572	  6.863e-02 	
         0.151604	  6.804e-02 	
         0.154636	  6.627e-02 	
         0.157668	  6.509e-02 	
         0.160700	  6.840e-02 	
         0.163732	  6.461e-02 	
         0.166764	  6.509e-02 	
         0.169797	  6.556e-02 	
         0.172829	  6.473e-02 	
         0.175861	  6.840e-02 	
         0.178893	  6.367e-02 	
         0.181925	  6.284e-02 	
         0.184957	  6.780e-02 	
         0.187989	  6.780e-02 	
         0.191021	  6.343e-02 	
         0.194053	  6.698e-02 	
         0.197085	  6.556e-02 	
         0.200117	  6.780e-02 	
         0.203149	  6.532e-02 	
         0.206181	  6.863e-02 	
         0.209213	  6.662e-02 	
         0.212246	  6.639e-02 	
         0.215278	  6.414e-02 	
         0.218310	  6.544e-02 	
         0.221342	  6.438e-02 	
         0.224374	  6.568e-02 	
         0.227406	  6.402e-02 	
         0.230438	  6.367e-02 	
         0.233470	  6.296e-02 	
         0.236502	  6.792e-02 	
         0.239534	  6.296e-02 	
         0.242566	  6.686e-02 	
         0.245598	  6.710e-02 	
         0.248632	  6.438e-02 	
         0.251664	  6.379e-02 	
         0.254696	  6.497e-02 	
         0.257728	  6.568e-02 	
         0.260760	  6.390e-02 	
         0.263792	  6.520e-02 	
