;PC Software:StarLab Version 3.50 Build 9
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:04/02/2021 at 14:06:22
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Pulse
;Pulses Number:100
;Notes:                                                            

;Channel A:Pulsar Sensor 1 Pyroelectric PE50-DIF-C (s/n:959905)  FU1.30 (s/n:955794)

;Channel A:Details
;Name:PE50-DIF-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A
;Settings:External Trigger:Off
;Missing Pulses Detect:Off 

;Channel A:Statistics
;Min:92.86mJ             
;Max:103.3mJ             
;Average:98.06mJ             
;Std.Dev.:1.996mJ             
;Overrange:0                   
;Total Pulses:350                 
;--------------------


;First Pulse Arrived : 04/02/2021 at 14:07:02
    Timestamp    	  Channel A  	
         0.000000	  9.451e-02 	
         0.003032	  9.640e-02 	
         0.006064	  9.321e-02 	
         0.009096	  9.617e-02 	
         0.012128	  9.581e-02 	
         0.015160	  9.286e-02 	
         0.018192	  9.699e-02 	
         0.021224	  9.806e-02 	
         0.024256	  9.652e-02 	
         0.027288	  9.605e-02 	
         0.030320	  9.735e-02 	
         0.033352	  9.747e-02 	
         0.036384	  9.936e-02 	
         0.039416	  9.640e-02 	
         0.042448	  1.009e-01 	
         0.045481	  9.723e-02 	
         0.048513	  9.900e-02 	
         0.051545	  9.699e-02 	
         0.054577	  9.948e-02 	
         0.057609	  9.723e-02 	
         0.060641	  9.676e-02 	
         0.063673	  9.959e-02 	
         0.066705	  9.806e-02 	
         0.069737	  9.747e-02 	
         0.072769	  9.995e-02 	
         0.075801	  9.581e-02 	
         0.078833	  9.959e-02 	
         0.081865	  1.018e-01 	
         0.084897	  9.688e-02 	
         0.087930	  9.971e-02 	
         0.090962	  9.829e-02 	
         0.093994	  9.747e-02 	
         0.097026	  9.782e-02 	
         0.100058	  9.404e-02 	
         0.103090	  1.015e-01 	
         0.106122	  9.688e-02 	
         0.109154	  1.014e-01 	
         0.112186	  9.676e-02 	
         0.115218	  9.877e-02 	
         0.118250	  9.688e-02 	
         0.121282	  9.711e-02 	
         0.124314	  9.983e-02 	
         0.127346	  9.971e-02 	
         0.130379	  9.794e-02 	
         0.133411	  9.676e-02 	
         0.136443	  9.924e-02 	
         0.139475	  9.770e-02 	
         0.142507	  1.004e-01 	
         0.145539	  9.841e-02 	
         0.148571	  1.014e-01 	
         0.151603	  9.900e-02 	
         0.154635	  9.605e-02 	
         0.157667	  1.008e-01 	
         0.160699	  9.593e-02 	
         0.163731	  9.770e-02 	
         0.166763	  9.983e-02 	
         0.169795	  9.877e-02 	
         0.172828	  9.699e-02 	
         0.175860	  9.770e-02 	
         0.178892	  9.900e-02 	
         0.181924	  9.841e-02 	
         0.184956	  1.012e-01 	
         0.187988	  9.900e-02 	
         0.191020	  9.782e-02 	
         0.194052	  9.581e-02 	
         0.197084	  1.021e-01 	
         0.200116	  9.995e-02 	
         0.203148	  9.652e-02 	
         0.206180	  9.794e-02 	
         0.209212	  9.628e-02 	
         0.212244	  9.487e-02 	
         0.215277	  9.818e-02 	
         0.218309	  9.995e-02 	
         0.221341	  9.416e-02 	
         0.224373	  9.758e-02 	
         0.227405	  1.015e-01 	
         0.230437	  9.546e-02 	
         0.233469	  9.983e-02 	
         0.236501	  9.865e-02 	
         0.239533	  9.664e-02 	
         0.242565	  9.723e-02 	
         0.245597	  9.569e-02 	
         0.248629	  9.747e-02 	
         0.251661	  9.959e-02 	
         0.254693	  9.640e-02 	
         0.257726	  9.806e-02 	
         0.260758	  9.747e-02 	
         0.263790	  9.888e-02 	
         0.266822	  9.948e-02 	
         0.269854	  9.735e-02 	
         0.272886	  9.841e-02 	
         0.275918	  9.818e-02 	
         0.278950	  1.022e-01 	
         0.281984	  9.948e-02 	
         0.285016	  9.628e-02 	
